corpus,target,max_identity
hiqbind,P00918,1.0
hiqbind,P00915,1.0
hiqbind,P24941,0.977
hiqbind,P42345,1.0
hiqbind,Q02127,1.0
hiqbind,P09874,1.0
hiqbind,Q72547,1.0
hiqbind,P37231,1.0
hiqbind,Q03181,1.0
hiqbind,P22303,1.0
hiqbind,O43570,1.0
hiqbind,O14757,1.0
hiqbind,P27338,1.0
hiqbind,P45983,1.0
hiqbind,P53779,1.0
hiqbind,P49841,1.0
hiqbind,P03372,1.0
hiqbind,Q00987,0.988
hiqbind,P42330,1.0
hiqbind,P34913,1.0
hiqbind,P00533,1.0
hiqbind,Q16769,1.0
hiqbind,O75116,1.0
hiqbind,P07333,1.0
hiqbind,P28907,0.98
hiqbind,P49759,1.0
hiqbind,O60885,1.0
hiqbind,P51449,0.992
hiqbind,P23458,1.0
hiqbind,Q06187,1.0
hiqbind,Q16790,0.996
hiqbind,P52333,1.0
hiqbind,Q13547,0.935
hiqbind,Q92769,1.0
hiqbind,P43166,1.0
hiqbind,Q06124,0.996
hiqbind,P17931,1.0
hiqbind,P08684,1.0
hiqbind,P06276,1.0
hiqbind,P03951,1.0
hiqbind,P01116,0.988
hiqbind,C7C422,0.996
hiqbind,Q13546,1.0
hiqbind,P42336,0.999
hiqbind,O75874,1.0
hiqbind,Q13627,1.0
hiqbind,Q9Y463,0.835
hiqbind,P04629,1.0
hiqbind,P29597,1.0
hiqbind,P36544,0.649
hiqbind,O94925,1.0
hiqbind,O60674,1.0
hiqbind,P29274,0.977
hiqbind,Q92630,0.997
hiqbind,Q96SW2,0.963
hiqbind,Q92918,1.0
hiqbind,Q03111,1.0
spindr,O60885,1.0
spindr,Q00987,0.988
spindr,P23458,1.0
spindr,P24941,0.979
spindr,Q13627,1.0
spindr,Q9Y463,0.852
spindr,P22303,1.0
spindr,P00533,1.0
spindr,O14757,0.992
spindr,Q03181,1.0
spindr,P49759,1.0
spindr,P51449,0.992
spindr,P00918,1.0
spindr,O75116,1.0
spindr,Q06187,1.0
spindr,P34913,1.0
spindr,P03372,1.0
spindr,P42345,1.0
spindr,P03951,1.0
spindr,P42336,1.0
spindr,P04629,1.0
spindr,P37231,1.0
spindr,P45983,1.0
spindr,P53779,1.0
spindr,P52333,1.0
spindr,Q13546,1.0
spindr,Q92918,1.0
spindr,Q06124,0.996
spindr,P36544,0.997
spindr,P49841,1.0
spindr,P07333,1.0
spindr,P29274,0.996
spindr,Q72547,0.795
spindr,P01116,0.988
spindr,O60674,1.0
spindr,P35408,0.996
spindr,P42330,1.0
spindr,Q92630,0.997
spindr,P29597,1.0
spindr,P41145,0.996
spindr,P06276,1.0
spindr,P08183,0.999
spindr,Q96SW2,0.967
spindr,O75874,1.0
spindr,Q03111,1.0
bindingmoad,P00918,1.0
bindingmoad,Q92918,1.0
bindingmoad,Q00987,0.988
bindingmoad,P34913,1.0
bindingmoad,O14757,1.0
bindingmoad,P51449,0.992
bindingmoad,O60885,1.0
bindingmoad,P29597,1.0
bindingmoad,P49841,1.0
bindingmoad,P37231,1.0
bindingmoad,P42330,1.0
bindingmoad,P24941,0.978
bindingmoad,P00533,0.994
bindingmoad,Q02127,1.0
bindingmoad,Q03111,1.0
bindingmoad,Q13627,1.0
bindingmoad,Q9Y463,0.849
bindingmoad,P22303,1.0
bindingmoad,P03372,1.0
bindingmoad,P52333,1.0
bindingmoad,Q06187,1.0
bindingmoad,P23458,1.0
bindingmoad,Q96SW2,0.959
bindingmoad,O75116,0.979
bindingmoad,P49759,1.0
bindingmoad,P36544,0.649
bindingmoad,P03951,1.0
bindingmoad,P42345,1.0
bindingmoad,P08684,1.0
bindingmoad,P09874,1.0
bindingmoad,P04629,1.0
bindingmoad,Q13547,0.94
bindingmoad,Q92769,1.0
bindingmoad,P17931,1.0
bindingmoad,Q06124,0.996
bindingmoad,P06276,1.0
bindingmoad,P01116,0.988
bindingmoad,Q16769,0.994
bindingmoad,O75874,1.0
bindingmoad,P00915,1.0
bindingmoad,P45983,1.0
bindingmoad,P53779,1.0
bindingmoad,Q03181,0.993
bindingmoad,O94925,1.0
bindingmoad,P27338,1.0
bindingmoad,Q13546,1.0
bindingmoad,P07333,1.0
bindingmoad,Q72547,0.801
bindingmoad,O43570,1.0
bindingmoad,Q92630,0.997
bindingmoad,P43490,1.0
bindingmoad,P29274,0.977
bindingmoad,P42336,0.999
bindingmoad,O60674,1.0
bindingmoad,Q99538,0.992
bindingmoad,C7C422,0.996
